isWon;countHitChances;countComingOut;turnCount;1;2;3;4;5;6
0;54;22;845;19;0;14;65;0;0
1;31;12;444;2;0;17;79;0;0
0;47;21;610;5;0;15;78;0;0
1;51;21;674;20;1;15;63;0;0
0;126;56;1598;9;0;16;73;0;0
1;43;14;526;15;1;14;68;0;0
0;56;22;812;15;1;16;67;0;0
1;63;23;902;9;0;15;73;0;0
0;65;30;904;5;0;19;75;0;0
0;54;22;705;11;0;14;72;0;0
1;82;28;835;24;0;16;57;0;0
0;59;26;958;14;0;16;68;0;0
0;48;28;782;33;0;11;55;0;0
1;36;15;672;21;0;11;66;0;0
0;71;29;983;10;1;14;73;0;0
1;34;11;492;17;0;18;63;0;0
0;51;29;825;26;0;12;61;0;0
1;23;10;522;24;1;5;67;0;0
0;52;25;710;9;0;14;75;0;0
1;94;37;1122;21;0;16;60;0;0
0;78;31;966;24;0;13;62;0;0
1;43;18;754;25;0;10;63;0;0
0;83;37;1094;28;0;13;57;0;0
1;47;20;628;18;0;12;68;0;0
0;58;27;824;16;0;12;71;0;0
0;70;30;982;21;1;12;64;0;0
0;50;22;726;18;1;13;67;0;0
0;48;21;726;36;0;11;50;0;0
1;56;18;771;11;1;11;75;0;0
0;47;18;571;26;0;12;60;0;0
0;79;40;1464;26;0;9;62;0;0
1;89;35;1129;14;0;14;70;0;0
0;67;32;959;12;0;14;73;0;0
0;51;25;850;20;0;13;65;0;0
1;36;14;525;19;0;13;65;0;0
0;50;20;576;8;0;20;70;0;0
1;43;16;632;21;1;13;64;0;0
0;68;34;1207;23;0;10;66;0;0
0;37;17;537;11;0;13;75;0;0
1;103;43;1419;12;0;14;73;0;0
0;52;16;545;15;2;13;68;0;0
1;79;29;1056;31;0;12;56;0;0
0;84;38;1272;15;0;14;68;0;0
1;41;12;478;23;0;16;59;0;0
0;73;30;1127;30;0;14;54;0;0
1;39;13;477;12;0;13;72;0;0
0;64;26;766;8;0;16;75;0;0
1;60;27;836;29;0;12;58;0;0
0;90;38;1044;11;0;21;66;0;0
1;34;11;479;7;2;10;79;0;0
0;49;24;657;17;0;16;65;0;0
1;42;16;682;16;0;10;72;0;0
0;61;28;803;14;2;13;69;0;0
1;38;11;520;20;0;12;66;0;0
0;95;41;1289;11;0;15;71;0;0
1;60;20;747;21;1;16;60;0;0
0;59;29;1021;14;0;12;71;0;0
0;54;17;713;21;0;14;63;0;0
1;42;18;591;16;1;12;68;0;0
0;56;26;712;20;0;16;63;0;0
0;56;23;830;34;0;11;53;0;0
0;69;36;1014;31;0;11;56;0;0
1;45;20;841;16;0;11;71;0;0
0;65;32;880;16;0;14;69;0;0
1;83;38;1339;17;0;10;71;0;0
0;68;30;924;18;2;13;65;0;0
1;98;33;1134;13;0;15;70;0;0
0;85;38;976;4;1;15;78;0;0
1;48;18;615;12;0;12;74;0;0
0;46;18;626;4;1;14;80;0;0
1;38;15;593;20;0;16;63;0;0
0;94;39;1282;13;0;17;68;0;0
1;40;14;588;35;0;11;51;0;0
0;18;10;519;28;0;7;63;0;0
1;29;11;510;10;1;16;70;0;0
0;62;27;809;16;0;13;69;0;0
1;48;16;522;11;0;12;75;0;0
0;58;21;760;9;2;16;71;0;0
1;46;19;781;16;0;11;71;0;0
0;80;36;1181;20;0;12;66;0;0
0;81;33;894;22;0;13;62;0;0
1;68;30;935;20;0;15;64;0;0
0;33;20;718;26;1;7;64;0;0
0;34;19;528;12;0;14;72;0;0
1;37;13;518;14;0;12;72;0;0
0;68;29;1039;33;0;11;54;0;0
1;33;15;566;11;0;11;76;0;0
0;43;19;643;21;0;16;62;0;0
0;47;23;775;31;0;10;58;0;0
1;48;15;592;28;0;16;54;0;0
0;48;25;750;27;0;12;60;0;0
0;69;26;914;14;0;14;70;0;0
1;67;31;1137;24;0;13;61;0;0
0;56;27;763;19;0;11;67;0;0
1;55;16;808;23;1;10;64;0;0
0;71;26;1003;18;1;13;66;0;0
1;80;39;1236;25;0;12;61;0;0
0;53;17;564;17;2;15;65;0;0
1;41;16;615;22;0;15;61;0;0
0;75;31;1016;18;0;16;63;0;0
1;43;16;626;19;0;11;69;0;0
0;94;39;1156;14;0;14;70;0;0
1;28;11;522;32;1;11;54;0;0
0;62;25;921;14;0;14;70;0;0
1;64;29;921;21;0;14;64;0;0
0;66;32;1309;23;0;11;64;0;0
1;54;22;858;22;0;15;61;0;0
0;80;36;1055;22;1;13;62;0;0
0;69;26;1049;37;0;13;49;0;0
0;70;27;1081;18;0;13;67;0;0
0;49;23;785;18;0;14;66;0;0
1;46;22;958;34;0;8;56;0;0
0;71;30;1104;15;0;14;69;0;0
0;69;30;976;34;0;11;53;0;0
1;42;15;636;16;0;13;69;0;0
