isWon;countHitChances;countTokenInHome;countTokenInStart;countComingOut;turnCount
1;20;4;0;5;299
0;44;0;0;18;541
1;17;4;0;5;221
0;60;0;3;21;832
0;42;2;1;17;571
1;46;4;0;12;563
0;60;0;0;27;852
1;60;4;0;21;753
0;42;0;3;16;642
1;38;4;0;10;400
0;74;0;1;30;1040
1;30;4;0;9;362
0;66;0;2;21;872
1;74;4;0;26;807
0;86;0;2;30;1084
1;38;4;0;14;421
0;37;0;1;14;518
1;53;4;0;19;523
0;68;0;1;32;980
0;34;1;0;11;385
0;45;3;0;11;492
1;24;4;0;8;314
0;35;0;3;15;532
1;58;4;0;21;894
0;34;0;0;14;428
1;43;4;0;15;492
0;39;0;1;15;685
1;24;4;0;9;417
0;42;0;2;18;669
0;54;3;0;17;629
1;58;4;0;17;795
0;101;0;1;44;1329
1;45;4;0;16;672
0;85;0;2;29;1046
0;65;2;1;25;740
0;46;2;0;15;478
1;36;4;0;14;583
0;37;0;3;18;516
1;35;4;0;11;384
0;30;0;1;15;510
1;26;4;0;8;423
0;46;0;2;19;567
1;34;4;0;7;332
0;46;0;3;13;703
0;98;3;0;37;1226
1;27;4;0;8;279
0;45;0;2;19;668
1;28;4;0;10;454
0;61;0;3;23;848
1;65;4;0;17;707
0;71;0;1;28;919
1;36;4;0;12;489
0;53;0;1;19;649
0;55;3;1;19;753
1;26;4;0;6;341
0;48;0;1;21;563
1;35;4;0;9;632
0;54;0;1;26;828
0;32;3;0;9;471
1;39;4;0;11;408
0;69;0;2;22;767
1;39;4;0;15;553
0;41;0;2;17;681
1;50;4;0;17;428
0;63;0;2;24;708
1;35;4;0;10;432
0;86;0;2;40;1109
0;48;3;0;15;639
1;50;4;0;16;717
0;52;0;2;21;696
0;22;2;2;9;374
1;60;4;0;19;746
0;61;0;3;19;804
1;50;4;0;16;679
0;26;0;3;11;475
1;43;4;0;15;483
0;47;0;1;18;602
1;20;4;0;7;351
0;65;0;1;22;964
1;21;4;0;6;334
0;78;0;3;25;975
1;33;4;0;9;442
0;72;0;0;27;832
0;26;1;1;11;403
1;53;4;0;15;606
0;44;0;2;16;542
1;87;4;0;26;857
0;41;0;1;16;558
0;39;3;0;15;514
0;29;0;0;11;410
0;28;3;0;10;379
1;44;4;0;15;526
0;39;0;2;14;516
0;51;3;0;16;527
1;44;4;0;19;674
0;63;0;2;23;885
0;33;3;0;11;404
1;53;4;0;16;644
0;68;0;1;25;899
1;38;4;0;11;551
isWon;countHitChances;countTokenInHome;countTokenInStart;countComingOut;turnCount
0;33;3;0;10;668
0;87;3;0;25;1771
0;75;3;0;26;2014
0;45;3;0;14;791
0;51;3;0;18;1043
0;26;1;2;11;616
0;41;2;0;14;789
1;36;4;0;9;756
0;69;0;2;25;1245
1;38;4;0;10;629
0;68;0;1;21;1004
1;42;4;0;10;871
0;66;0;3;25;1419
1;56;4;0;21;1095
0;61;0;1;21;1113
0;49;1;0;18;866
1;36;4;0;15;745
0;72;0;3;28;1651
1;64;4;0;25;1377
0;62;0;1;22;1191
1;46;4;0;16;773
0;69;0;1;18;1056
1;52;4;0;15;711
0;84;0;2;30;1498
1;68;4;0;22;1647
0;43;0;0;17;960
0;49;3;0;15;909
1;58;4;0;18;1066
0;103;0;2;36;1711
1;37;4;0;15;1001
0;121;0;2;42;1942
1;68;4;0;17;1345
0;22;0;3;6;351
1;53;4;0;16;1135
0;33;0;3;9;652
0;45;2;1;16;806
0;95;3;0;26;1723
1;89;4;0;27;1605
0;47;0;3;17;944
1;88;4;0;26;1701
0;75;0;3;26;1495
1;32;4;0;7;569
0;115;0;3;43;1997
0;65;3;0;22;1466
1;47;4;0;13;869
0;109;0;0;39;2179
0;70;3;0;22;1393
1;36;4;0;9;768
0;72;0;2;21;965
0;106;2;0;32;2075
0;78;3;0;25;1510
1;31;4;0;10;717
0;112;0;3;43;1891
0;36;2;0;12;776
1;60;4;0;18;1025
0;86;0;2;36;1803
1;23;4;0;6;550
0;60;0;0;21;1009
0;63;2;0;21;1044
0;81;3;0;24;1534
0;65;3;0;19;1819
0;85;2;0;24;1212
1;41;4;0;11;785
0;61;0;1;22;1215
0;84;3;0;23;1659
1;53;4;0;21;1254
0;94;0;3;38;1666
1;46;4;0;11;627
0;34;0;1;18;666
1;57;4;0;17;986
0;76;0;1;26;1298
0;52;2;1;19;1077
0;33;0;3;13;760
1;72;4;0;22;1533
0;116;0;0;39;1771
0;47;3;0;19;1064
0;50;3;0;16;1035
1;40;4;0;9;554
0;44;0;3;15;861
1;29;4;0;8;540
0;29;0;3;13;628
1;91;4;0;32;2019
0;66;0;1;22;1078
1;34;4;0;7;450
0;51;0;0;16;701
1;76;4;0;25;1540
0;75;0;1;31;1280
1;48;4;0;11;616
0;54;0;3;17;746
1;48;4;0;11;760
0;59;0;2;23;1022
1;50;4;0;17;885
0;82;0;2;25;1350
1;49;4;0;17;886
0;46;0;0;23;1037
1;61;4;0;23;1366
0;67;0;2;29;1280
1;38;4;0;9;595
0;107;0;3;38;1973
1;51;4;0;16;1274
0;41;0;2;14;839
1;41;4;0;15;690
0;82;0;0;30;1744
1;46;4;0;11;851
0;59;0;1;24;1295
1;37;4;0;10;661
0;43;0;2;20;934
1;60;4;0;18;995
0;44;0;2;19;880
0;46;2;1;16;948
1;80;4;0;23;1830
0;56;0;3;19;931
0;48;0;2;19;864
1;43;4;0;16;910
0;73;0;2;27;1105
0;75;2;0;25;1257
1;67;4;0;20;1338
0;93;0;1;36;1674
1;25;4;0;9;599
0;115;0;0;44;1808
1;68;4;0;24;1633
0;59;0;2;19;1092
1;52;4;0;14;1086
0;93;0;2;29;1693
1;27;4;0;7;677
0;51;0;3;26;1064
1;42;4;0;16;1025
0;146;0;2;53;2394
1;49;4;0;14;818
0;50;0;2;20;1048
1;72;4;0;21;1263
0;81;0;3;26;1425
0;81;3;0;30;1844
0;71;1;1;29;1539
1;71;4;0;24;1546
0;58;0;1;23;1239
0;54;3;0;17;828
1;52;4;0;13;902
0;52;0;3;21;1006
1;55;4;0;15;1146
0;83;0;1;29;1406
1;42;4;0;13;718
0;73;0;2;27;1297
1;42;4;0;16;619
0;91;0;0;37;1770
1;65;4;0;21;1391
0;99;0;3;36;1662
0;55;3;0;18;1108
0;46;3;0;13;852
1;85;4;0;33;1996
0;78;0;3;26;1408
1;42;4;0;12;917
0;128;0;0;48;2241
1;56;4;0;20;1168
0;78;0;2;28;1428
1;67;4;0;22;1398
0;49;0;1;16;675
0;103;1;2;34;1570
1;67;4;0;21;1531
0;60;0;1;22;1243
1;55;4;0;18;877
0;62;0;1;20;1095
0;73;3;0;29;1900
0;70;1;1;26;1243
0;42;2;0;15;874
1;90;4;0;24;1369
0;61;0;3;23;1054
1;72;4;0;26;1538
0;94;0;3;34;1604
1;52;4;0;15;911
0;66;0;3;27;1424
0;52;3;0;15;890
1;63;4;0;21;1033
0;79;0;1;33;1580
1;52;4;0;14;814
0;67;0;2;28;1104
0;61;3;0;23;1404
0;41;3;0;10;698
0;82;3;0;23;1775
0;95;3;0;38;1847
0;76;2;0;26;1355
1;35;4;0;13;536
0;80;0;2;26;1310
0;42;2;1;13;969
1;38;4;0;9;650
0;73;0;3;22;1158
0;55;3;0;21;1496
0;57;3;0;20;1129
0;60;2;0;18;915
0;64;1;2;21;1170
1;58;4;0;18;1009
0;73;0;2;26;1139
0;26;0;2;8;581
0;54;2;0;20;1250
1;28;4;0;8;339
0;84;0;0;37;1610
1;37;4;0;12;927
0;44;0;2;18;751
0;85;3;0;26;1686
0;63;3;0;21;1254
1;43;4;0;16;828
0;83;0;3;33;1535
0;37;2;1;12;850
0;61;3;0;21;1279
0;42;2;1;14;716
1;36;4;0;11;557
0;72;0;0;26;1472
0;81;3;0;25;1909
1;45;4;0;9;721
0;37;0;3;15;661
1;49;4;0;15;747
0;100;0;1;35;1592
1;50;4;0;15;833
0;55;0;1;17;862
1;45;4;0;13;780
0;87;0;0;34;1693
1;44;4;0;13;761
0;95;0;3;38;2160
1;41;4;0;12;959
0;68;0;3;25;1183
0;77;3;0;21;1876
0;48;3;0;16;1057
1;40;4;0;14;792
0;65;0;1;27;1121
0;74;2;1;23;1239
0;43;3;0;20;1044
1;26;4;0;8;377
0;91;0;0;36;1591
1;45;4;0;15;755
0;90;0;2;30;2001
0;40;3;0;15;1006
1;46;4;0;15;976
0;49;0;3;19;882
0;81;3;0;29;1464
1;57;4;0;21;1115
0;120;0;0;43;2070
0;72;2;0;22;1231
0;49;3;0;13;727
1;29;4;0;9;430
0;61;0;0;20;781
0;73;3;0;24;1411
1;79;4;0;22;1463
0;79;0;1;29;1428
0;57;1;0;22;1371
1;36;4;0;10;649
0;64;0;1;25;1127
0;63;0;3;21;1067
0;76;3;0;25;1299
1;41;4;0;13;659
0;47;0;0;18;1014
1;58;4;0;18;875
0;91;0;2;35;1658
0;29;2;0;9;473
1;60;4;0;17;1065
0;77;0;0;28;1799
1;44;4;0;12;953
0;97;0;2;38;1980
1;60;4;0;14;1290
0;89;0;1;38;1492
1;60;4;0;19;820
0;66;0;0;24;1162
0;97;3;0;30;2424
1;64;4;0;20;1373
0;78;0;1;30;1433
1;28;4;0;11;792
0;133;0;3;45;2536
1;35;4;0;14;755
0;74;0;3;34;1623
0;40;1;1;12;762
1;49;4;0;18;1018
0;70;0;3;28;1203
0;66;3;0;19;1124
1;82;4;0;29;1633
0;73;0;3;23;1593
0;35;1;2;12;881
1;46;4;0;17;834
0;34;0;0;13;530
1;30;4;0;14;757
0;58;0;1;20;1249
1;54;4;0;17;1157
0;61;0;0;22;1223
1;63;4;0;18;1062
0;59;0;3;20;1057
1;51;4;0;12;922
0;103;0;3;38;1686
1;74;4;0;29;1398
0;94;0;1;39;1715
1;87;4;0;29;1678
0;63;0;1;20;1050
0;42;2;1;14;625
1;96;4;0;31;1567
0;82;0;1;35;1258
1;37;4;0;12;711
0;87;0;0;32;1770
0;29;3;0;10;680
0;47;3;0;19;1053
0;43;1;2;15;728
1;81;4;0;25;1501
0;91;0;2;30;1803
0;56;3;0;17;1050
1;51;4;0;11;987
0;65;0;2;29;1128
0;37;1;2;16;700
1;64;4;0;15;1109
0;87;0;3;32;1566
0;43;3;0;14;980
1;29;4;0;9;500
0;53;0;1;17;821
1;32;4;0;8;684
0;79;0;3;26;1374
1;50;4;0;17;817
0;66;0;1;25;1013
1;64;4;0;16;1248
0;60;0;3;17;1198
0;38;3;0;12;647
1;39;4;0;10;612
0;81;0;0;32;1573
0;51;3;0;22;1214
1;50;4;0;14;872
0;41;0;2;17;818
1;49;4;0;11;798
0;83;0;0;31;1533
1;51;4;0;14;1167
0;52;0;1;21;1442
0;60;3;0;24;1108
0;57;3;0;19;1271
1;46;4;0;14;906
0;59;0;3;21;889
1;32;4;0;11;665
0;61;0;2;27;1567
0;48;3;0;15;866
1;43;4;0;13;950
0;67;0;1;18;984
1;69;4;0;25;1101
0;61;0;0;29;1543
0;49;3;0;15;1010
0;63;3;0;23;1701
1;35;4;0;10;443
0;48;0;2;13;949
1;61;4;0;20;1255
0;60;0;3;18;1149
1;20;4;0;7;554
0;59;0;2;26;939
0;57;3;0;21;1153
1;53;4;0;15;1162
0;94;0;2;31;1802
1;25;4;0;7;407
0;93;0;3;34;1900
1;32;4;0;9;693
0;68;0;3;24;1184
1;48;4;0;14;992
0;55;0;3;21;1074
0;74;3;0;21;1282
1;73;4;0;25;1484
0;45;0;1;18;902
1;78;4;0;19;1196
0;72;0;2;27;1251
1;50;4;0;12;758
0;106;0;2;39;2283
0;67;3;0;30;1431
1;53;4;0;16;757
0;56;0;3;21;1192
0;51;2;0;17;782
1;36;4;0;10;571
0;43;0;1;18;906
0;43;1;1;10;638
1;43;4;0;10;608
0;55;0;2;25;1169
